ticker,yes_bid,yes_ask,last_price,volume
KXNFLTEAMPTS-MOST27-NE,0.0200,0.0300,0.0300,3498.92
KXNFLTEAMPTS-MOST27-NYG,0.0000,0.0200,0.0100,2191.71
KXNFLTEAMPTS-MOST27-PHI,0.0000,0.0200,0.0200,561.81
KXNFLTEAMPTS-MOST27-NO,0.0100,0.0200,0.0200,2319.36
KXNFLTEAMPTS-MOST27-TB,0.0000,0.0100,0.0200,1151.18
KXNFLTEAMPTS-MOST27-BUF,0.2200,0.2600,0.2600,5189.60
KXNFLTEAMPTS-MOST27-CAR,0.0000,0.0200,0.0200,2145.89
KXNFLTEAMPTS-MOST27-DET,0.1000,0.2600,0.2600,5566.03
KXNFLTEAMPTS-MOST27-BAL,0.0400,0.1500,0.0400,4524.05
KXNFLTEAMPTS-MOST27-LAR,0.0900,0.1000,0.1000,3778.24
KXNFLTEAMPTS-MOST27-DAL,0.0600,0.0700,0.0600,4884.96
KXNFLTEAMPTS-MOST27-GB,0.0000,0.0200,0.0100,1371.25
KXNFLTEAMPTS-MOST27-IND,0.0000,0.0100,0.0100,718.39
KXNFLTEAMPTS-MOST27-TEN,0.0000,0.0100,0.0000,0.00
KXNFLTEAMPTS-MOST27-CHI,0.0500,0.0900,0.0500,19353.80
KXNFLTEAMPTS-MOST27-CIN,0.0400,0.1100,0.0400,3010.40
KXNFLTEAMPTS-MOST27-ARI,0.0000,0.0100,0.0100,1089.74
KXNFLTEAMPTS-MOST27-LAC,0.0200,0.0300,0.0200,7739.59
KXNFLTEAMPTS-MOST27-ATL,0.0000,0.0100,0.0100,305.01
KXNFLTEAMPTS-MOST27-KC,0.0100,0.0800,0.0200,2212.57
KXNFLTEAMPTS-MOST27-LV,0.0000,0.0100,0.0100,155.00
KXNFLTEAMPTS-MOST27-SEA,0.0000,0.0100,0.0200,1125.79
KXNFLTEAMPTS-MOST27-MIA,0.0000,0.0100,0.0000,0.00
KXNFLTEAMPTS-MOST27-NYJ,0.0000,0.0100,0.0100,1396.78
KXNFLTEAMPTS-MOST27-CLE,0.0000,0.0100,0.0100,298.51
KXNFLTEAMPTS-MOST27-WAS,0.0000,0.0100,0.0000,0.00
KXNFLTEAMPTS-MOST27-HOU,0.0000,0.0200,0.0200,1644.34
KXNFLTEAMPTS-MOST27-PIT,0.0100,0.0200,0.0200,5299.09
KXNFLTEAMPTS-MOST27-MIN,0.0000,0.0200,0.0200,1909.09
KXNFLTEAMPTS-MOST27-SF,0.0600,0.0700,0.0400,1846.21
KXNFLTEAMPTS-MOST27-JAC,0.0100,0.0900,0.0200,3867.51
KXNFLTEAMPTS-MOST27-DEN,0.0000,0.0100,0.0100,2816.95
