ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP24ATLGB-GB7,0.4400,0.4500,0.4400,243207.94
KXNFLSPREAD-26SEP24ATLGB-GB10,0.3400,0.3500,0.3500,22500.09
KXNFLSPREAD-26SEP24ATLGB-ATL14,0.0600,0.0700,0.0700,10575.35
KXNFLSPREAD-26SEP24ATLGB-GB6,0.4700,0.4800,0.4700,301401.86
KXNFLSPREAD-26SEP24ATLGB-ATL15,0.0500,0.0600,0.0600,4388.68
KXNFLSPREAD-26SEP24ATLGB-ATL7,0.1600,0.1700,0.1700,13390.77
KXNFLSPREAD-26SEP24ATLGB-ATL11,0.0900,0.1000,0.0900,5771.54
KXNFLSPREAD-26SEP24ATLGB-ATL2,0.2900,0.3000,0.3000,5525.94
KXNFLSPREAD-26SEP24ATLGB-GB24,0.0900,0.1000,0.1000,14379.53
KXNFLSPREAD-26SEP24ATLGB-ATL8,0.1300,0.1400,0.1400,5440.85
KXNFLSPREAD-26SEP24ATLGB-GB14,0.2500,0.2600,0.2600,11390.33
KXNFLSPREAD-26SEP24ATLGB-GB18,0.1600,0.1700,0.1700,742.69
KXNFLSPREAD-26SEP24ATLGB-ATL4,0.2000,0.2100,0.2100,7929.38
KXNFLSPREAD-26SEP24ATLGB-ATL6,0.1800,0.1900,0.1900,7827.94
KXNFLSPREAD-26SEP24ATLGB-GB8,0.3800,0.3900,0.3900,96635.84
KXNFLSPREAD-26SEP24ATLGB-GB28,0.0400,0.0500,0.0600,23379.72
KXNFLSPREAD-26SEP24ATLGB-GB21,0.1200,0.1300,0.1300,23318.51
KXNFLSPREAD-26SEP24ATLGB-GB4,0.5300,0.5400,0.5400,25297.52
KXNFLSPREAD-26SEP24ATLGB-ATL5,0.1900,0.2100,0.2100,1648.90
KXNFLSPREAD-26SEP24ATLGB-GB5,0.5000,0.5100,0.5000,217599.00
KXNFLSPREAD-26SEP24ATLGB-GB2,0.6500,0.6600,0.6600,10080.38
KXNFLSPREAD-26SEP24ATLGB-GB3,0.6200,0.6300,0.6300,47325.91
KXNFLSPREAD-26SEP24ATLGB-GB11,0.3000,0.3100,0.3000,17021.88
KXNFLSPREAD-26SEP24ATLGB-GB17,0.1800,0.1900,0.1900,2541.61
KXNFLSPREAD-26SEP24ATLGB-ATL10,0.1000,0.1100,0.1100,6389.69
KXNFLSPREAD-26SEP24ATLGB-GB15,0.2100,0.2200,0.2200,1405.83
KXNFLSPREAD-26SEP24ATLGB-ATL3,0.2700,0.2800,0.2800,12016.61
