ticker,yes_bid,yes_ask,last_price,volume
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-90,0.1600,0.1900,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-100,0.1100,0.1400,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-70,0.3100,0.3400,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-100,0.1100,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-40,0.4100,0.4300,0.4300,112.17
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-80,0.4500,0.4600,0.4800,601.32
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-50,0.2700,0.3000,0.2700,5.01
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-60,0.4100,0.4300,0.4000,66.84
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-90,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-25,0.7900,0.8300,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-50,0.5500,0.5700,0.5400,22.15
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-80,0.2400,0.2700,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-25,0.4300,0.4600,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-70,0.3300,0.3500,0.3600,132.93
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-60,0.0200,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-130,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-160,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-40,0.8300,0.8600,0.8300,40.70
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-110,0.0300,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-90,0.1700,0.2000,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-70,0.0900,0.1500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-80,0.0400,0.1000,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-90,0.3400,0.3600,0.3500,41.42
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-60,0.1700,0.2100,0.2100,45.12
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-35,0.4900,0.5000,0.4900,6307.01
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-100,0.2800,0.3000,0.2900,453.46
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-50,0.5500,0.5600,0.5600,1993.26
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-40,0.6600,0.6800,0.6900,7.62
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-60,0.4300,0.4500,0.4500,44.66
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-50,0.0700,0.1300,0.1200,360.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-40,0.6300,0.6700,0.6700,5.16
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-25,0.6400,0.6800,0.6900,7.02
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-50,0.7600,0.7800,0.7600,12.52
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-140,0.0200,0.0900,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-120,0.0800,0.1600,0.0800,2.02
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-60,0.6500,0.6800,0.6400,16.08
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-110,0.1300,0.2300,0.1300,11.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-150,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-PITPFREIERMUTH88-15,0.8000,0.8400,0.8000,10.01
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-15,0.6600,0.6800,0.6800,41.57
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-120,0.0200,0.0700,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-130,0.0200,0.0600,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-70,0.0200,0.0500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINCBROWN30-40,0.1700,0.2100,0.2200,70.00
KXNFLRECYDS-26SEP27CINPIT-PITDMETCALF4-80,0.2300,0.2500,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-110,0.0300,0.1100,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-120,0.0200,0.0800,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINTHIGGINS5-25,0.8100,0.8400,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-130,0.0300,0.1300,0.0000,0.00
KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-70,0.5400,0.5700,0.5800,438.18
