ticker,yes_bid,yes_ask,last_price,volume
KXNFLSPREAD-26SEP27HOUIND-HOU15,0.1400,0.1700,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-HOU8,0.2900,0.3000,0.2900,38.42
KXNFLSPREAD-26SEP27HOUIND-IND7,0.2200,0.2400,0.2400,76.91
KXNFLSPREAD-26SEP27HOUIND-IND4,0.3000,0.3200,0.3100,31.77
KXNFLSPREAD-26SEP27HOUIND-HOU7,0.3400,0.3500,0.3400,168.37
KXNFLSPREAD-26SEP27HOUIND-HOU17,0.1200,0.1400,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-IND8,0.1800,0.2000,0.1700,11.24
KXNFLSPREAD-26SEP27HOUIND-HOU18,0.0900,0.1200,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-IND6,0.2500,0.2700,0.2600,3.65
KXNFLSPREAD-26SEP27HOUIND-IND10,0.1500,0.1800,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-IND15,0.0800,0.1000,0.1000,2.00
KXNFLSPREAD-26SEP27HOUIND-HOU11,0.2100,0.2300,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-HOU21,0.0600,0.0800,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-HOU2,0.5500,0.5600,0.5500,1643.20
KXNFLSPREAD-26SEP27HOUIND-IND11,0.1200,0.1500,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-IND14,0.1000,0.1200,0.1200,3.00
KXNFLSPREAD-26SEP27HOUIND-HOU5,0.3800,0.4000,0.3900,72.58
KXNFLSPREAD-26SEP27HOUIND-IND3,0.3700,0.3900,0.3900,678.46
KXNFLSPREAD-26SEP27HOUIND-HOU3,0.5100,0.5200,0.5200,22427.60
KXNFLSPREAD-26SEP27HOUIND-HOU10,0.2500,0.2700,0.2600,80.25
KXNFLSPREAD-26SEP27HOUIND-IND5,0.2700,0.2900,0.2800,167.65
KXNFLSPREAD-26SEP27HOUIND-HOU14,0.1700,0.1900,0.0000,0.00
KXNFLSPREAD-26SEP27HOUIND-HOU6,0.3700,0.3800,0.3700,275.96
KXNFLSPREAD-26SEP27HOUIND-HOU4,0.4200,0.4300,0.4200,12701.69
KXNFLSPREAD-26SEP27HOUIND-IND2,0.4000,0.4100,0.4100,5.68
