ticker,yes_bid,yes_ask,last_price,volume
KXNFLTOTAL-26SEP27KCMIA-47,0.4700,0.4800,0.4800,2659.18
KXNFLTOTAL-26SEP27KCMIA-44,0.5800,0.5900,0.6000,2799.21
KXNFLTOTAL-26SEP27KCMIA-58,0.1800,0.2100,0.0000,0.00
KXNFLTOTAL-26SEP27KCMIA-31,0.8900,0.9000,0.9000,196.10
KXNFLTOTAL-26SEP27KCMIA-40,0.6900,0.7100,0.6900,147.37
KXNFLTOTAL-26SEP27KCMIA-49,0.4000,0.4200,0.4300,1798.39
KXNFLTOTAL-26SEP27KCMIA-52,0.3200,0.3400,0.3300,449.00
KXNFLTOTAL-26SEP27KCMIA-25,0.9500,0.9600,0.9500,350.57
KXNFLTOTAL-26SEP27KCMIA-61,0.1400,0.1500,0.1400,13166.00
KXNFLTOTAL-26SEP27KCMIA-64,0.0900,0.1100,0.0900,20514.09
KXNFLTOTAL-26SEP27KCMIA-43,0.6000,0.6300,0.0000,0.00
KXNFLTOTAL-26SEP27KCMIA-55,0.2500,0.2700,0.2400,65.78
KXNFLTOTAL-26SEP27KCMIA-34,0.8400,0.8500,0.8400,29.51
KXNFLTOTAL-26SEP27KCMIA-46,0.5100,0.5200,0.5100,1267.43
KXNFLTOTAL-26SEP27KCMIA-37,0.7700,0.7900,0.7800,497.61
KXNFLTOTAL-26SEP27KCMIA-67,0.0500,0.0700,0.0500,1710.82
KXNFLTOTAL-26SEP27KCMIA-28,0.9300,0.9500,0.9400,160.00
KXNFLTOTAL-26SEP27KCMIA-48,0.4300,0.4500,0.4500,36.53
KXNFLTOTAL-26SEP27KCMIA-45,0.5400,0.5500,0.5400,581.48
