ticker,yes_bid,yes_ask,last_price,volume
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-70,0.0600,0.1200,0.1200,39.24
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-50,0.0300,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-15,0.6100,0.6500,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-50,0.2000,0.2600,0.2100,356.93
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-60,0.1100,0.1900,0.1900,116.41
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-90,0.3300,0.4200,0.4200,15.33
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-50,0.5800,0.6600,0.5900,1.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-25,0.6000,0.6600,0.6900,213.25
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-120,0.0900,0.1900,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-60,0.4700,0.5100,0.5200,341.46
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-120,0.0100,0.1000,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-15,0.8000,0.8500,0.8600,710.10
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-30,0.8100,0.8800,0.8600,95.01
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-20,0.7000,0.7700,0.7800,122.10
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-25,0.3700,0.4000,0.3700,79.01
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-20,0.4800,0.5100,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-70,0.3500,0.4200,0.4200,53.71
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-40,0.7300,0.7700,0.7700,34.00
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-80,0.2300,0.3100,0.2600,10.00
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-110,0.0500,0.1400,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-50,0.7200,0.8100,0.7400,188.13
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-110,0.1600,0.2400,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-80,0.0500,0.0900,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-80,0.4700,0.5000,0.5000,590.23
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-60,0.6600,0.7300,0.7400,21.25
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-100,0.1400,0.1900,0.1400,7.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-40,0.3500,0.4000,0.3300,467.37
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-100,0.2400,0.3200,0.3300,3598.96
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-140,0.0200,0.1100,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-30,0.5600,0.5800,0.5800,1014.09
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-60,0.0100,0.0700,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-40,0.1200,0.1600,0.1300,10.00
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-30,0.2500,0.3000,0.2500,3.03
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-150,0.0100,0.0900,0.0800,500.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-130,0.0500,0.1400,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-70,0.5800,0.6300,0.6300,54.39
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-90,0.1500,0.2400,0.1500,24.03
KXNFLRSHYDS-26SEP27LACBUF-LACOHAMPTON8-130,0.0500,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJALLEN17-90,0.0100,0.0600,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-LACJHERBERT10-10,0.7400,0.7500,0.0000,0.00
KXNFLRSHYDS-26SEP27LACBUF-BUFJCOOK4-160,0.0100,0.0600,0.0000,0.00
