player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Leighton McCarthy,,LB,,,,,,,,,,
Vosean Joseph,,OLB,,,,,,,,,,
Kobe Jones,,LB,,,,,,,,,,
Henry To'oTo'o,HOU,LB,,,,,,,,,,
Trent Harris,,LB,,,,,,,,,,
Andrew Farmer,SF,LB,,,,,,,,,,
Emmanuel Beal,,ILB,,,,,,,,,,
Johnny Ragin,,ILB,,,,,,,,,,
Derick Roberson,,LB,,,,,,,,,,
Clay Johnston,,LB,,,,,,,,,,
Shaquem Griffin,,LB,,,,,,,,,,
Marvin Moody,,LB,,,,,,,,,,
Ledarius Mack,,LB,,,,,,,,,,
Shaq Thompson,BUF,LB,,,,,,,,,,
Anthony Sarao,,ILB,,,,,,,,,,
Kyle Wilber,,LB,,,,,,,,,,
Kyle Louis,MIA,LB,,,,,,,,,,
JD Bertrand,ATL,LB,,,,,,,,,,
Rashad Smith,,LB,,,,,,,,,,
D.J. Johnson,,LB,,,,,,,,,,
Nicholas Morrow,,LB,,,,,,,,,,
Kasim Edebali,,DE,,,,,,,,,,
Javin White,,LB,,,,,,,,,,
C.J. Mosley,,LB,,,,,,,,,,
Jack Sanborn,CHI,LB,PHI,0.78,0.57,,,,0.05,,,
Micah McFadden,NYG,LB,TEN,0.76,0.54,,,,0.05,,,
Zayne Anderson,MIA,DB,KC,0.87,0.82,,,0.05,,,,
Jackson Woodard,MIA,LB,KC,0.41,0.2,,,,,,,
Kain Medrano,WAS,LB,SEA,0.6,0.7,,,,0.05,,,
David Walker,TB,LB,MIN,0.49,0.27,,,,0.05,,,
Winston Reid,CLE,LB,CAR,0.64,1.01,,,,1.96,,,
James Williams,TEN,DB,NYG,1.03,0.82,,,,0.72,,,
Zaire Barnes,NYG,LB,TEN,0.76,0.54,,,,0.05,,,
Chazz Surratt,SEA,LB,WAS,0.4,0.4,,,,0.06,,,
Troy Reeder,NYJ,LB,DET,1.3,0.97,,,,0.05,,,
Miles Killebrew,TB,DB,MIN,0.43,0.22,,,0.05,,,,
Branson Combs,JAX,LB,NE,0.35,0.29,,,,,,,
Jeffrey Bassa,KC,LB,MIA,1.42,1.49,,,,0.06,,,
Owen Pappoe,TEN,LB,NYG,1.08,1.33,,,,0.41,,,
Jake Hansen,HOU,LB,IND,0.56,0.62,,,,0.06,,,
Del'Shawn Phillips,LAC,LB,BUF,1.04,0.71,,,,0.05,,,
Jimmy Rolder,DET,LB,NYJ,1.45,1.09,,,,0.06,,,
Bryce Boettcher,IND,LB,HOU,1.39,1.02,,,,1.66,,,
Easton Mascarenas-Arnold,CLE,LB,CAR,0.64,1.01,,,,0.05,,,
