player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Ukeme Eligwe,,LB,,,,,,,,,,
Jabaal Sheard,,DE,,,,,,,,,,
Jalen Reeves-Maybin,,LB,,,,,,,,,,
Donavan Mutin,,LB,,,,,,,,,,
Chris Frey,,LB,,,,,,,,,,
Shaq Smith,,LB,,,,,,,,,,
Jaiden Woodbey,,LB,,,,,,,,,,
Anthony Winbush,,DE,,,,,,,,,,
Terrance Smith,,LB,,,,,,,,,,
Calvin Bundage,,LB,,,,,,,,,,
James Crawford,,LB,,,,,,,,,,
Ruben Hyppolite,,LB,,,,,,,,,,
Justin Hollins,,LB,,,,,,,,,,
Frank Ginda,,OLB,,,,,,,,,,
Tuasivi Nomura,,LB,,,,,,,,,,
DeMarcus Walker,,DE,,,,,,,,,,
J.J. Watt,,DE,,,,,,,,,,
Max Richardson,,LB,,,,,,,,,,
Ale Kaho,WAS,LB,,,,,,,,,,
Mike Needham,,LB,,,,,,,,,,
Jason Hall,,OLB,,,,,,,,,,
Leo Lewis,,LB,,,,,,,,,,
Kyle Soelle,,LB,,,,,,,,,,
Leon Jacobs,,LB,,,,,,,,,,
Michael Divinity,,LB,,,,,,,,,,
Barrington Wade,,LB,,,,,,,,,,
Edmond Robinson,SEA,LB,,,,,,,,,,
Derek Rivers,,DE,,,,,,,,,,
Mario Addison,,DE,,,,,,,,,,
Dakota Allen,,LB,,,,,,,,,,
Nyles Morgan,,ILB,,,,,,,,,,
Nephi Sewell,CHI,LB,,,,,,,,,,
Will Parks,,DB,,,,,,,,,,
Riley Wilson,NE,LB,,,,,,,,,,
David Kenney,,OLB,,,,,,,,,,
Carl Nassib,,DE,,,,,,,,,,
Sean Lee,,LB,,,,,,,,,,
Randy Ramsey,,LB,,,,,,,,,,
Abraham Beauplan,,LB,,,,,,,,,,
Isaiah Land,DAL,LB,,,,,,,,,,
Tarique Barnes,,LB,,,,,,,,,,
Xander Mueller,,LB,,,,,,,,,,
De'Jon Harris,,LB,,,,,,,,,,
Kam Arnold,,LB,,,,,,,,,,
Christian Miller,,LB,,,,,,,,,,
Jamey Mosley,,OLB,,,,,,,,,,
A.J. Klein,,LB,,,,,,,,,,
Harvey Langi,,LB,,,,,,,,,,
Ro'Derrick Hoskins,,LB,,,,,,,,,,
Dylan Cole,,LB,,,,,,,,,,
Chris Peace,,OLB,,,,,,,,,,
Shaun Bradley,,LB,,,,,,,,,,
Matt Milano,,LB,,,,,,,,,,
Marcel Spears,,LB,,,,,,,,,,
Brady Sheldon,,LB,,,,,,,,,,
Emeke Egbule,,LB,,,,,,,,,,
Kaimon Rucker,BAL,LB,,,,,,,,,,
Jatavis Brown,,LB,,,,,,,,,,
Jake Ganus,,OLB,,,,,,,,,,
Ja'Von Rolland-Jones,,DE,,,,,,,,,,
Danny Trevathan,CHI,LB,,,,,,,,,,
Jontrey Hunter,,LB,,,,,,,,,,
Kolbi Fuqua,,LB,,,,,,,,,,
Carson Wells,,LB,,,,,,,,,,
Wesley Woodyard,,LB,,,,,,,,,,
Joey Alfieri,,OLB,,,,,,,,,,
Buddy Johnson,CHI,LB,,,,,,,,,,
Reuben Foster,,LB,,,,,,,,,,
Devin-DUP Veresuk-DUP,,LB,,,,,,,,,,
Greg Roberts,,DE,,,,,,,,,,
Brandon George,,LB,,,,,,,,,,
Zakoby McClain,,LB,,,,,,,,,,
Nick Vigil,,LB,,,,,,,,,,
Jonathan Celestin,,LB,,,,,,,,,,
Diego Fagot,,LB,,,,,,,,,,
Jacoby Windmon,PIT,LB,,,,,,,,,,
James Burgess,,LB,,,,,,,,,,
Jordan Fehr,,LB,,,,,,,,,,
Jackson Mitchell,,LB,,,,,,,,,,
Forrest Rhyne,,LB,,,,,,,,,,
Emmanuel Ellerbee,ATL,LB,,,,,,,,,,
Mike Bell,,LB,,,,,,,,,,
Folarin Orimolade,,OLB,,,,,,,,,,
K.J. Wright,,LB,,,,,,,,,,
Nigel Bradham,,LB,,,,,,,,,,
Damien Wilson,,LB,,,,,,,,,,
Ryan Connelly,,LB,,,,,,,,,,
Rashod Berry,,LB,,,,,,,,,,
Andrew Jones,,LB,,,,,,,,,,
Reggie Walker,,LB,,,,,,,,,,
Brooks Reed,,LB,,,,,,,,,,
Cavellis Luckett,,ILB,,,,,,,,,,
Dylan Moses,JAX,LB,,,,,,,,,,
Sione Teuhema,,OLB,,,,,,,,,,
Jan Johnson,,LB,,,,,,,,,,
Isaiah Pryor,,LB,,,,,,,,,,
Terrill Hanks,,OLB,,,,,,,,,,
Chad Meredith,,OLB,,,,,,,,,,
Nick Hampton,,LB,,,,,,,,,,
Malik Harrison,NYG,LB,,,,,,,,,,
Tegray Scales,,LB,,,,,,,,,,
Anthony Hitchens,KC,LB,,,,,,,,,,
Donovan Branch,,LB,,,,,,,,,,
Anthony Walker,,LB,,,,,,,,,,
Nick Bellore,,LB,,,,,,,,,,
Jordan Kunaszyk,,LB,,,,,,,,,,
Kemoko Turay,,DE,,,,,,,,,,
Colton Jumper,,OLB,,,,,,,,,,
Jamal Marcus,,LB,,,,,,,,,,
Frankie Griffin,,LB,,,,,,,,,,
Nate Hall,,LB,,,,,,,,,,
William Ossai,,LB,,,,,,,,,,
Erroll Thompson,,LB,,,,,,,,,,
Travin Howard,,LB,,,,,,,,,,
Malik Hamm,,LB,,,,,,,,,,
Kareem Martin,,LB,,,,,,,,,,
Corey Nelson,,LB,,,,,,,,,,
Adarius Taylor,,LB,,,,,,,,,,
Curtis Akins,,OLB,,,,,,,,,,
Myles Jack,,LB,,,,,,,,,,
Anfernee Orji,,LB,,,,,,,,,,
Markus Jones,,OLB,,,,,,,,,,
Gerri Green,,DE,,,,,,,,,,
Keith Kelsey,,ILB,,,,,,,,,,
Austin Calitro,,LB,,,,,,,,,,
Ezekiel Bigger,,OLB,,,,,,,,,,
Ian Seau,,DE,,,,,,,,,,
Erik Harris,,DB,,,,,,,,,,
Aaron Beasley,,LB,,,,,,,,,,
Donnie Baggs,,OLB,,,,,,,,,,
Shaun Dion Hamilton,,LB,,,,,,,,,,
Chauncey Manac,,LB,,,,,,,,,,
Paul Worrilow,,LB,,,,,,,,,,
James Vaughters,,LB,,,,,,,,,,
Jared Bartlett,JAX,LB,,,,,,,,,,
Sione Takitaki,,LB,,,,,,,,,,
Montrel Meander,,LB,,,,,,,,,,
P.J. Davis,,ILB,,,,,,,,,,
Shaheed Salmon,,ILB,,,,,,,,,,
Andrae Kirk,,OLB,,,,,,,,,,
Mohamoud Diabate,TEN,LB,,,,,,,,,,
Matthew Oplinger,,OLB,,,,,,,,,,
