player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Cam Jackson,CAR,DT,CLE,0.06,0.17,,,,0.06,,,
Jowon Briggs,NYJ,DE,DET,0.05,0.11,,,,0.05,,,
Sam Williams,CLE,DL,CAR,0.64,0.69,,,,0.05,,,
Deatrich Wise,WAS,DE,SEA,0.6,0.7,,,,0.05,,,
LT Overton,DAL,DE,BAL,0.7,0.75,,,,0.06,,,
Nazir Stackhouse,TEN,DL,NYG,0.16,0.1,,,,0.05,,,
Jonah Elliss,DEN,DE,LAR,0.44,0.55,,,,0.06,,,
DeAngelo Malone,ATL,DL,GB,0.69,0.53,,,,0.05,,,
Jonathan Ford,GB,DL,ATL,0.17,0.11,,,,0.06,,,
Dani Dennis-Sutton,GB,DE,ATL,0.69,0.69,,,,0.06,,,
Jared Ivey,ATL,DE,GB,0.37,0.37,,,,0.05,,,
Anthony Campbell,GB,DT,ATL,0.17,0.11,,,,0.06,,,
Cameron Thomas,ATL,DL,GB,0.69,0.53,,,,0.05,,,
DJ Herman,MIA,LB,KC,,,,,,,,,
T.J. Watt,PIT,LB,CIN,1.33,1.22,0.48,0.05,0.37,0.69,0.16,0.11,
Tuli Tuipulotu,LAC,DL,BUF,1.77,0.73,0.62,,0.16,0.83,0.1,0.05,
Will Anderson,HOU,DL,IND,1.68,0.95,0.59,,0.11,0.95,0.11,0.06,
Andrew Van Ginkel,MIN,LB,TB,2.28,1.5,0.47,0.11,0.44,0.67,,0.06,
Bradley Chubb,BUF,LB,LAC,1.46,1.4,0.56,,0.06,0.53,0.12,0.06,
Danielle Hunter,HOU,DE,IND,1.63,1.27,0.69,,0.16,0.74,0.11,,
Nik Bonitto,DEN,LB,LAR,1.66,0.78,0.67,,0.1,0.78,0.1,,
Abdul Carter,NYG,DL,TEN,1.53,1.25,0.46,,,0.49,0.16,0.05,
Nick Herbig,PIT,LB,CIN,1.22,0.69,0.48,,0.11,0.64,0.16,0.05,
Brian Burns,NYG,DE,TEN,2.05,1.44,0.51,,0.31,0.92,0.1,0.05,
Byron Young,LAR,LB,DEN,2.06,1.84,0.6,,,0.6,0.05,,
